Evt_lab,Start,End,TotalPrecip_mm,Max_Intensity,Dur_hr,PreDry_Dur_hr
1,3/1/1950 16:00,3/1/1950 18:00,1.78,1.02,3,NA
3,3/3/1950 18:00,3/3/1950 22:00,1.01,0.51,5,47
5,3/5/1950 13:00,3/5/1950 18:00,15.24,5.33,6,38
7,3/6/1950 15:00,3/7/1950 2:00,12.96,3.3,12,20
9,3/8/1950 6:00,3/8/1950 12:00,8.12,5.33,7,27
11,3/13/1950 18:00,3/13/1950 20:00,5.58,4.06,3,125
13,3/15/1950 18:00,3/15/1950 20:00,0.76,0.51,3,45
15,3/16/1950 2:00,3/16/1950 9:00,34.79,15.24,8,5
17,3/19/1950 20:00,3/19/1950 20:00,2.79,2.79,1,82
19,3/20/1950 3:00,3/20/1950 3:00,0.25,0.25,1,6
21,3/22/1950 1:00,3/22/1950 3:00,0.76,0.51,3,45
23,3/22/1950 13:00,3/22/1950 15:00,4.06,3.56,3,9
25,3/28/1950 11:00,3/28/1950 16:00,17.02,6.35,6,139
27,4/4/1950 17:00,4/4/1950 17:00,1.78,1.78,1,168
29,4/5/1950 0:00,4/5/1950 13:00,11.42,3.81,14,6
31,4/25/1950 10:00,4/25/1950 22:00,11.94,7.37,13,476
33,4/27/1950 18:00,4/27/1950 22:00,61.97,49.53,5,43
35,4/30/1950 18:00,4/30/1950 19:00,6.86,4.57,2,67
37,5/9/1950 2:00,5/9/1950 2:00,3.05,3.05,1,198
39,5/14/1950 16:00,5/14/1950 16:00,1.52,1.52,1,133
41,5/15/1950 8:00,5/15/1950 13:00,30.73,15.75,6,15
43,5/16/1950 18:00,5/16/1950 18:00,3.3,3.3,1,28
45,5/22/1950 0:00,5/22/1950 0:00,2.03,2.03,1,125
47,5/22/1950 12:00,5/22/1950 23:00,19.04,13.46,12,11
49,5/30/1950 19:00,5/30/1950 20:00,9.15,6.86,2,187
51,5/31/1950 5:00,5/31/1950 7:00,3.81,2.29,3,8
53,5/31/1950 22:00,5/31/1950 22:00,0.25,0.25,1,14
55,6/3/1950 16:00,6/3/1950 19:00,4.57,2.79,4,65
57,6/8/1950 4:00,6/8/1950 8:00,9.91,6.86,5,104
59,6/18/1950 20:00,6/18/1950 22:00,1.27,0.51,3,251
61,6/23/1950 14:00,6/23/1950 16:00,9.4,5.59,3,111
