"Evt_lab","Start","End","TotalRain","Max_Intensity","Dur_hr","PreDry_Dur_hr"
1,1950-03-01 16:00:00,1950-03-01 18:00:00,1.78,1.02,3,NA
3,1950-03-03 18:00:00,1950-03-03 22:00:00,1.01,0.51,5,47
5,1950-03-05 13:00:00,1950-03-05 18:00:00,15.24,5.33,6,38
7,1950-03-06 15:00:00,1950-03-07 02:00:00,12.96,3.3,12,20
9,1950-03-08 06:00:00,1950-03-08 12:00:00,8.12,5.33,7,27
11,1950-03-13 18:00:00,1950-03-13 20:00:00,5.58,4.06,3,125
13,1950-03-15 18:00:00,1950-03-15 20:00:00,0.76,0.51,3,45
15,1950-03-16 02:00:00,1950-03-16 09:00:00,34.79,15.24,8,5
17,1950-03-19 20:00:00,1950-03-19 20:00:00,2.79,2.79,1,82
19,1950-03-20 03:00:00,1950-03-20 03:00:00,0.25,0.25,1,6
21,1950-03-22 01:00:00,1950-03-22 03:00:00,0.76,0.51,3,45
23,1950-03-22 13:00:00,1950-03-22 15:00:00,4.06,3.56,3,9
25,1950-03-28 11:00:00,1950-03-28 16:00:00,17.02,6.35,6,139
27,1950-04-04 17:00:00,1950-04-04 17:00:00,1.78,1.78,1,168
29,1950-04-05 00:00:00,1950-04-05 13:00:00,11.42,3.81,14,6
31,1950-04-25 10:00:00,1950-04-25 22:00:00,11.94,7.37,13,476
33,1950-04-27 18:00:00,1950-04-27 22:00:00,61.97,49.53,5,43
35,1950-04-30 18:00:00,1950-04-30 19:00:00,6.86,4.57,2,67
37,1950-05-09 02:00:00,1950-05-09 02:00:00,3.05,3.05,1,198
39,1950-05-14 16:00:00,1950-05-14 16:00:00,1.52,1.52,1,133
41,1950-05-15 08:00:00,1950-05-15 13:00:00,30.73,15.75,6,15
43,1950-05-16 18:00:00,1950-05-16 18:00:00,3.3,3.3,1,28
45,1950-05-22 00:00:00,1950-05-22 00:00:00,2.03,2.03,1,125
47,1950-05-22 12:00:00,1950-05-22 23:00:00,19.04,13.46,12,11
49,1950-05-30 19:00:00,1950-05-30 20:00:00,9.15,6.86,2,187
51,1950-05-31 05:00:00,1950-05-31 07:00:00,3.81,2.29,3,8
53,1950-05-31 22:00:00,1950-05-31 22:00:00,0.25,0.25,1,14
55,1950-06-03 16:00:00,1950-06-03 19:00:00,4.57,2.79,4,65
57,1950-06-08 04:00:00,1950-06-08 08:00:00,9.91,6.86,5,104
59,1950-06-18 20:00:00,1950-06-18 22:00:00,1.27,0.51,3,251
61,1950-06-23 14:00:00,1950-06-23 16:00:00,9.4,5.59,3,111
63,1950-06-26 17:00:00,1950-06-26 20:00:00,6.86,2.29,4,72
65,1950-06-30 05:00:00,1950-06-30 06:00:00,22.6,12.95,2,80
67,1950-06-30 14:00:00,1950-06-30 15:00:00,1.02,0.51,2,7
69,1950-07-01 04:00:00,1950-07-01 04:00:00,0.25,0.25,1,12
71,1950-07-01 15:00:00,1950-07-01 15:00:00,21.08,21.08,1,10
73,1950-07-02 12:00:00,1950-07-03 01:00:00,21.34,11.94,14,20
75,1950-07-03 13:00:00,1950-07-03 15:00:00,31.74,19.81,3,11
77,1950-07-03 21:00:00,1950-07-03 21:00:00,0.25,0.25,1,5
79,1950-07-06 14:00:00,1950-07-06 19:00:00,18.02,14.22,6,64
81,1950-07-07 10:00:00,1950-07-08 02:00:00,14.97,4.32,17,14
83,1950-07-08 14:00:00,1950-07-09 01:00:00,33.01,13.21,12,11
85,1950-07-09 14:00:00,1950-07-09 17:00:00,44.44,23.37,4,12
87,1950-07-10 04:00:00,1950-07-10 05:00:00,6.35,5.59,2,10
89,1950-07-10 15:00:00,1950-07-10 16:00:00,3.81,2.79,2,9
91,1950-07-11 15:00:00,1950-07-11 20:00:00,17.52,16.51,6,22
93,1950-07-15 19:00:00,1950-07-15 23:00:00,6.35,5.08,5,94
95,1950-07-16 13:00:00,1950-07-16 14:00:00,14.99,11.94,2,13
97,1950-07-19 14:00:00,1950-07-19 15:00:00,14.47,14.22,2,71
99,1950-07-20 19:00:00,1950-07-20 19:00:00,8.38,8.38,1,27
101,1950-07-22 20:00:00,1950-07-22 21:00:00,1.01,0.76,2,48
103,1950-07-28 13:00:00,1950-07-28 14:00:00,5.33,3.81,2,135
105,1950-07-28 20:00:00,1950-07-28 21:00:00,0.5,0.25,2,5
107,1950-07-29 13:00:00,1950-07-29 18:00:00,7.36,4.32,6,15
109,1950-08-01 07:00:00,1950-08-01 07:00:00,1.02,1.02,1,60
111,1950-08-02 14:00:00,1950-08-02 15:00:00,1.01,0.76,2,30
113,1950-08-04 23:00:00,1950-08-04 23:00:00,0.25,0.25,1,55
115,1950-08-05 06:00:00,1950-08-05 06:00:00,0.76,0.76,1,6
117,1950-08-10 14:00:00,1950-08-10 14:00:00,6.6,6.6,1,127
119,1950-08-10 22:00:00,1950-08-10 22:00:00,0.51,0.51,1,7
121,1950-08-13 17:00:00,1950-08-13 17:00:00,3.56,3.56,1,66
123,1950-08-14 15:00:00,1950-08-14 15:00:00,0.76,0.76,1,21
125,1950-08-15 13:00:00,1950-08-15 22:00:00,5.34,3.05,10,21
127,1950-08-21 13:00:00,1950-08-21 17:00:00,35.55,34.8,5,134
129,1950-08-23 23:00:00,1950-08-23 23:00:00,0.25,0.25,1,53
131,1950-08-26 13:00:00,1950-08-26 13:00:00,4.83,4.83,1,61
133,1950-08-26 23:00:00,1950-08-26 23:00:00,1.78,1.78,1,9
135,1950-08-27 15:00:00,1950-08-27 15:00:00,0.25,0.25,1,15
137,1950-08-29 11:00:00,1950-08-29 16:00:00,3.56,2.03,6,43
139,1950-08-31 18:00:00,1950-08-31 20:00:00,2.03,1.27,3,49
141,1950-09-01 11:00:00,1950-09-01 12:00:00,4.07,2.29,2,14
143,1950-09-02 11:00:00,1950-09-02 11:00:00,0.25,0.25,1,22
145,1950-09-03 19:00:00,1950-09-04 01:00:00,3.04,1.27,7,31
147,1950-09-04 07:00:00,1950-09-04 19:00:00,33.27,8.64,13,5
149,1950-09-05 10:00:00,1950-09-07 04:00:00,321.03,25.91,43,14
151,1950-09-07 13:00:00,1950-09-07 13:00:00,0.25,0.25,1,8
153,1950-09-15 21:00:00,1950-09-16 00:00:00,2.54,1.02,4,199
155,1950-09-24 23:00:00,1950-09-25 00:00:00,1.27,1.02,2,214
157,1950-09-25 12:00:00,1950-09-25 12:00:00,0.25,0.25,1,11
159,1950-09-27 00:00:00,1950-09-27 01:00:00,1.52,0.76,2,35
161,1950-09-27 17:00:00,1950-09-28 00:00:00,5.08,1.27,8,15
163,1950-09-28 08:00:00,1950-09-28 13:00:00,13.71,7.37,6,7
165,1950-09-28 19:00:00,1950-09-28 21:00:00,1.27,1.02,3,5
167,1950-09-29 08:00:00,1950-09-29 15:00:00,35.8,25.65,8,10
169,1950-09-29 22:00:00,1950-09-30 05:00:00,1.26,0.51,8,6
171,1950-09-30 14:00:00,1950-09-30 14:00:00,0.25,0.25,1,8
173,1950-09-30 22:00:00,1950-09-30 22:00:00,0.25,0.25,1,7
175,1950-10-01 13:00:00,1950-10-01 14:00:00,1.52,1.27,2,14
177,1950-10-02 06:00:00,1950-10-02 09:00:00,11.43,5.33,4,15
179,1950-10-02 17:00:00,1950-10-02 17:00:00,6.1,6.1,1,7
181,1950-10-09 08:00:00,1950-10-09 09:00:00,5.58,2.79,2,158
183,1950-10-16 12:00:00,1950-10-16 12:00:00,1.02,1.02,1,170
185,1950-10-16 19:00:00,1950-10-19 01:00:00,228.56,43.43,55,6
187,1950-10-21 00:00:00,1950-10-21 15:00:00,31.72,8.89,16,46
189,1950-10-22 21:00:00,1950-10-22 21:00:00,4.83,4.83,1,29
191,1950-11-03 16:00:00,1950-11-03 17:00:00,7.11,6.6,2,282
193,1950-11-04 07:00:00,1950-11-04 07:00:00,0.51,0.51,1,13
195,1950-11-15 02:00:00,1950-11-15 06:00:00,2.54,1.78,5,258
197,1950-11-16 03:00:00,1950-11-16 03:00:00,0.25,0.25,1,20
199,1950-11-17 13:00:00,1950-11-17 13:00:00,2.79,2.79,1,33
201,1950-11-20 21:00:00,1950-11-20 22:00:00,3.3,3.05,2,79
203,1950-11-24 14:00:00,1950-11-24 17:00:00,0.75,0.25,4,87
205,1950-12-03 18:00:00,1950-12-03 22:00:00,8.12,4.32,5,216
207,1950-12-06 21:00:00,1950-12-07 00:00:00,1.27,0.51,4,70
209,1950-12-07 06:00:00,1950-12-07 09:00:00,1.52,1.02,4,5
211,1950-12-09 23:00:00,1950-12-09 23:00:00,3.3,3.3,1,61
213,1950-12-14 23:00:00,1950-12-15 00:00:00,0.76,0.51,2,119
215,1950-12-15 07:00:00,1950-12-15 08:00:00,2.54,1.27,2,6
217,1950-12-15 16:00:00,1950-12-15 18:00:00,2.79,1.52,3,7
219,1950-12-17 10:00:00,1950-12-17 13:00:00,1,0.25,4,39
221,1950-12-27 09:00:00,1950-12-27 11:00:00,11.17,6.6,3,235
223,1950-12-29 19:00:00,1950-12-29 19:00:00,0.25,0.25,1,55
225,1950-12-30 06:00:00,1950-12-30 06:00:00,0.25,0.25,1,10
227,1950-12-30 12:00:00,1950-12-31 04:00:00,15.23,4.57,17,5
229,1951-01-07 18:00:00,1951-01-07 19:00:00,3.04,2.79,2,181
231,1951-01-11 09:00:00,1951-01-11 09:00:00,0.25,0.25,1,85
233,1951-01-15 04:00:00,1951-01-15 05:00:00,4.32,3.3,2,90
235,1951-01-23 04:00:00,1951-01-23 04:00:00,0.25,0.25,1,190
237,1951-01-24 18:00:00,1951-01-25 04:00:00,5.57,1.27,11,37
239,1951-02-01 15:00:00,1951-02-02 02:00:00,7.6,1.78,12,178
241,1951-02-06 23:00:00,1951-02-07 09:00:00,31.75,21.84,11,116
243,1951-02-21 08:00:00,1951-02-21 09:00:00,4.06,3.3,2,334
245,1951-03-08 20:00:00,1951-03-08 20:00:00,0.25,0.25,1,370
247,1951-03-12 01:00:00,1951-03-12 10:00:00,10.67,4.83,10,76
249,1951-03-12 18:00:00,1951-03-13 00:00:00,10.92,6.1,7,7
251,1951-03-18 21:00:00,1951-03-18 22:00:00,1.02,0.51,2,140
253,1951-03-19 18:00:00,1951-03-20 05:00:00,14.73,4.32,12,19
255,1951-03-20 23:00:00,1951-03-21 10:00:00,9.13,3.56,12,17
257,1951-03-30 00:00:00,1951-03-30 08:00:00,11.17,3.81,9,205
259,1951-04-02 12:00:00,1951-04-02 17:00:00,11.93,4.06,6,75
261,1951-04-07 13:00:00,1951-04-07 14:00:00,1.01,0.76,2,115
263,1951-04-19 16:00:00,1951-04-19 18:00:00,8.63,4.57,3,289
265,1951-04-23 10:00:00,1951-04-23 10:00:00,1.27,1.27,1,87
267,1951-04-23 16:00:00,1951-04-23 16:00:00,8.38,8.38,1,5
269,1951-05-10 18:00:00,1951-05-10 18:00:00,0.76,0.76,1,409
271,1951-05-11 07:00:00,1951-05-11 08:00:00,0.5,0.25,2,12
273,1951-05-17 13:00:00,1951-05-17 13:00:00,0.76,0.76,1,148
275,1951-05-23 17:00:00,1951-05-23 22:00:00,18.29,11.94,6,147
277,1951-05-26 08:00:00,1951-05-26 16:00:00,14.72,10.16,9,57
279,1951-05-27 19:00:00,1951-05-27 22:00:00,2.03,1.78,4,26
281,1951-06-06 16:00:00,1951-06-06 17:00:00,4.58,3.56,2,233
283,1951-06-10 16:00:00,1951-06-10 16:00:00,1.27,1.27,1,94
285,1951-06-13 15:00:00,1951-06-13 18:00:00,1.27,0.76,4,70
287,1951-06-14 17:00:00,1951-06-14 19:00:00,2.29,1.02,3,22
289,1951-06-15 23:00:00,1951-06-16 00:00:00,5.08,3.3,2,27
291,1951-06-16 14:00:00,1951-06-16 15:00:00,3.04,2.79,2,13
293,1951-06-17 12:00:00,1951-06-17 13:00:00,11.93,7.87,2,20
295,1951-06-18 05:00:00,1951-06-18 05:00:00,0.25,0.25,1,15
297,1951-06-18 15:00:00,1951-06-18 15:00:00,1.78,1.78,1,9
299,1951-06-19 14:00:00,1951-06-19 17:00:00,8.38,4.06,4,22
301,1951-06-20 16:00:00,1951-06-20 21:00:00,20.82,10.92,6,22
303,1951-06-27 13:00:00,1951-06-27 17:00:00,3.8,2.79,5,159
305,1951-06-28 16:00:00,1951-06-28 16:00:00,0.25,0.25,1,22
307,1951-06-29 18:00:00,1951-06-29 19:00:00,31.24,30.48,2,25
309,1951-06-30 15:00:00,1951-06-30 17:00:00,2.03,1.27,3,19
311,1951-07-01 19:00:00,1951-07-02 00:00:00,36.57,30.73,6,25
313,1951-07-02 15:00:00,1951-07-02 19:00:00,32.76,19.56,5,14
315,1951-07-03 13:00:00,1951-07-03 17:00:00,9.65,6.6,5,17
317,1951-07-04 15:00:00,1951-07-04 17:00:00,5.08,4.32,3,21
319,1951-07-06 20:00:00,1951-07-06 20:00:00,0.25,0.25,1,50
321,1951-07-07 22:00:00,1951-07-07 22:00:00,0.51,0.51,1,25
323,1951-07-17 15:00:00,1951-07-17 23:00:00,28.96,24.64,9,232
325,1951-07-19 19:00:00,1951-07-19 20:00:00,3.3,2.79,2,43
327,1951-07-20 15:00:00,1951-07-20 16:00:00,2.8,1.78,2,18
329,1951-07-21 16:00:00,1951-07-21 21:00:00,1.27,0.76,6,23
331,1951-07-28 16:00:00,1951-07-28 20:00:00,36.83,34.54,5,162
333,1951-07-29 13:00:00,1951-07-29 21:00:00,10.15,8.38,9,16
335,1951-07-30 14:00:00,1951-07-30 14:00:00,0.76,0.76,1,16
337,1951-07-31 15:00:00,1951-07-31 18:00:00,1.01,0.76,4,24
339,1951-08-01 23:00:00,1951-08-01 23:00:00,6.86,6.86,1,28
341,1951-08-02 17:00:00,1951-08-02 20:00:00,8.89,8.13,4,17
343,1951-08-04 16:00:00,1951-08-04 18:00:00,1.78,1.02,3,43
345,1951-08-05 02:00:00,1951-08-05 02:00:00,0.76,0.76,1,7
347,1951-08-07 17:00:00,1951-08-07 17:00:00,1.52,1.52,1,62
349,1951-08-08 17:00:00,1951-08-08 20:00:00,1.77,1.02,4,23
351,1951-08-17 14:00:00,1951-08-17 17:00:00,19.3,19.05,4,209
353,1951-08-19 15:00:00,1951-08-19 15:00:00,1.02,1.02,1,45
355,1951-08-22 13:00:00,1951-08-22 14:00:00,4.31,4.06,2,69
357,1951-08-23 14:00:00,1951-08-23 20:00:00,2.79,2.03,7,23
359,1951-08-24 16:00:00,1951-08-24 18:00:00,6.6,6.35,3,19
361,1951-09-02 16:00:00,1951-09-02 16:00:00,9.14,9.14,1,213
363,1951-09-06 18:00:00,1951-09-06 18:00:00,10.16,10.16,1,97
365,1951-09-14 18:00:00,1951-09-14 21:00:00,28.19,26.16,4,191
367,1951-09-15 14:00:00,1951-09-15 21:00:00,46.22,30.73,8,16
369,1951-09-16 22:00:00,1951-09-16 23:00:00,4.83,3.56,2,24
371,1951-09-17 16:00:00,1951-09-18 19:00:00,112.26,36.83,28,16
373,1951-09-19 02:00:00,1951-09-19 04:00:00,1.01,0.51,3,6
375,1951-09-23 03:00:00,1951-09-23 04:00:00,14.98,14.73,2,94
377,1951-09-23 19:00:00,1951-09-23 19:00:00,2.03,2.03,1,14
379,1951-09-25 07:00:00,1951-09-25 07:00:00,0.51,0.51,1,35
381,1951-09-26 16:00:00,1951-09-26 21:00:00,1.77,1.27,6,32
383,1951-09-29 11:00:00,1951-09-29 12:00:00,3.05,2.54,2,61
385,1951-09-29 20:00:00,1951-09-29 22:00:00,2.79,1.52,3,7
387,1951-09-30 04:00:00,1951-09-30 05:00:00,0.76,0.51,2,5
389,1951-10-01 13:00:00,1951-10-01 19:00:00,9.9,3.56,7,31
391,1951-10-02 04:00:00,1951-10-02 21:00:00,8.37,3.05,18,8
393,1951-10-13 18:00:00,1951-10-13 19:00:00,0.5,0.25,2,260
395,1951-10-14 08:00:00,1951-10-14 08:00:00,0.25,0.25,1,12
397,1951-10-14 21:00:00,1951-10-15 03:00:00,2.28,1.02,7,12
399,1951-10-15 13:00:00,1951-10-15 13:00:00,0.25,0.25,1,9
401,1951-10-15 22:00:00,1951-10-16 02:00:00,12.18,6.35,5,8
403,1951-10-20 14:00:00,1951-10-20 16:00:00,1.78,1.02,3,107
405,1951-10-20 23:00:00,1951-10-21 14:00:00,63.25,16.76,16,6
407,1951-10-21 23:00:00,1951-10-22 08:00:00,41.66,20.83,10,8
409,1951-11-01 17:00:00,1951-11-01 21:00:00,5.83,2.29,5,248
411,1951-11-02 09:00:00,1951-11-03 04:00:00,13.46,3.3,20,11
413,1951-11-06 17:00:00,1951-11-06 19:00:00,8.89,4.32,3,84
415,1951-11-15 17:00:00,1951-11-15 18:00:00,2.8,1.78,2,213
417,1951-11-16 09:00:00,1951-11-16 17:00:00,20.31,5.84,9,14
419,1951-11-17 01:00:00,1951-11-17 02:00:00,0.5,0.25,2,7
421,1951-11-27 22:00:00,1951-11-28 07:00:00,6.08,1.52,10,259
423,1951-12-04 11:00:00,1951-12-04 15:00:00,4.06,2.54,5,147
425,1951-12-05 14:00:00,1951-12-05 15:00:00,3.04,2.79,2,22
427,1951-12-10 16:00:00,1951-12-10 16:00:00,0.25,0.25,1,120
429,1951-12-11 06:00:00,1951-12-11 07:00:00,1.01,0.76,2,13
431,1951-12-11 14:00:00,1951-12-11 19:00:00,4.06,1.27,6,6
433,1951-12-15 03:00:00,1951-12-15 03:00:00,0.25,0.25,1,79
435,1951-12-15 09:00:00,1951-12-15 10:00:00,1.53,1.02,2,5
437,1951-12-18 11:00:00,1951-12-18 18:00:00,18.79,9.4,8,72
439,1951-12-21 13:00:00,1951-12-21 14:00:00,2.03,1.78,2,66
441,1951-12-21 22:00:00,1951-12-22 02:00:00,7.62,3.05,5,7
443,1951-12-23 13:00:00,1951-12-23 21:00:00,3.03,1.02,9,34
445,1951-12-26 16:00:00,1951-12-27 07:00:00,23.6,6.86,16,66
447,1952-01-10 08:00:00,1952-01-10 09:00:00,1.53,1.02,2,336
449,1952-01-20 18:00:00,1952-01-20 18:00:00,0.25,0.25,1,248
451,1952-01-23 06:00:00,1952-01-23 08:00:00,1.27,1.02,3,59
453,1952-01-23 22:00:00,1952-01-24 02:00:00,1.01,0.51,5,13
455,1952-01-28 12:00:00,1952-01-28 22:00:00,16.26,3.81,11,105
457,1952-02-02 23:00:00,1952-02-03 03:00:00,6.09,2.54,5,120
459,1952-02-03 14:00:00,1952-02-03 14:00:00,0.25,0.25,1,10
461,1952-02-07 08:00:00,1952-02-07 11:00:00,5.34,2.54,4,89
463,1952-02-15 15:00:00,1952-02-16 19:00:00,68.55,19.05,29,195
465,1952-02-17 03:00:00,1952-02-17 03:00:00,0.25,0.25,1,7
467,1952-02-20 18:00:00,1952-02-20 20:00:00,2.53,1.52,3,86
469,1952-02-23 02:00:00,1952-02-24 02:00:00,16.23,3.05,25,53
471,1952-02-24 12:00:00,1952-02-24 14:00:00,1.27,0.51,3,9
473,1952-02-26 01:00:00,1952-02-26 20:00:00,17.52,3.05,20,34
