Evt_lab,Start,End,TotalPrecip_mm,Max_Intensity,Dur_hr,PreDry_Dur_hr
2,3/1/1950 19:00,3/3/1950 17:00,0,0,47,3
4,3/3/1950 23:00,3/5/1950 12:00,0,0,38,5
6,3/5/1950 19:00,3/6/1950 14:00,0,0,20,6
8,3/7/1950 3:00,3/8/1950 5:00,0,0,27,12
10,3/8/1950 13:00,3/13/1950 17:00,0,0,125,7
12,3/13/1950 21:00,3/15/1950 17:00,0,0,45,3
14,3/15/1950 21:00,3/16/1950 1:00,0,0,5,3
16,3/16/1950 10:00,3/19/1950 19:00,0,0,82,8
18,3/19/1950 21:00,3/20/1950 2:00,0,0,6,1
20,3/20/1950 4:00,3/22/1950 0:00,0,0,45,1
22,3/22/1950 4:00,3/22/1950 12:00,0,0,9,3
24,3/22/1950 16:00,3/28/1950 10:00,0,0,139,3
26,3/28/1950 17:00,4/4/1950 16:00,0,0,168,6
28,4/4/1950 18:00,4/4/1950 23:00,0,0,6,1
30,4/5/1950 14:00,4/25/1950 9:00,0,0,476,14
32,4/25/1950 23:00,4/27/1950 17:00,0,0,43,13
34,4/27/1950 23:00,4/30/1950 17:00,0,0,67,5
36,4/30/1950 20:00,5/9/1950 1:00,0,0,198,2
38,5/9/1950 3:00,5/14/1950 15:00,0,0,133,1
40,5/14/1950 17:00,5/15/1950 7:00,0,0,15,1
42,5/15/1950 14:00,5/16/1950 17:00,0,0,28,6
44,5/16/1950 19:00,5/21/1950 23:00,0,0,125,1
46,5/22/1950 1:00,5/22/1950 11:00,0,0,11,1
48,5/23/1950 0:00,5/30/1950 18:00,0,0,187,12
50,5/30/1950 21:00,5/31/1950 4:00,0,0,8,2
52,5/31/1950 8:00,5/31/1950 21:00,0,0,14,3
54,5/31/1950 23:00,6/3/1950 15:00,0,0,65,1
56,6/3/1950 20:00,6/8/1950 3:00,0,0,104,4
58,6/8/1950 9:00,6/18/1950 19:00,0,0,251,5
60,6/18/1950 23:00,6/23/1950 13:00,0,0,111,3
62,6/23/1950 17:00,6/26/1950 16:00,0,0,72,3
64,6/26/1950 21:00,6/30/1950 4:00,0,0,80,4
66,6/30/1950 7:00,6/30/1950 13:00,0,0,7,2
68,6/30/1950 16:00,7/1/1950 3:00,0,0,12,2
70,7/1/1950 5:00,7/1/1950 14:00,0,0,10,1
72,7/1/1950 16:00,7/2/1950 11:00,0,0,20,1
74,7/3/1950 2:00,7/3/1950 12:00,0,0,11,14
76,7/3/1950 16:00,7/3/1950 20:00,0,0,5,3
78,7/3/1950 22:00,7/6/1950 13:00,0,0,64,1
80,7/6/1950 20:00,7/7/1950 9:00,0,0,14,6
82,7/8/1950 3:00,7/8/1950 13:00,0,0,11,17
84,7/9/1950 2:00,7/9/1950 13:00,0,0,12,12
86,7/9/1950 18:00,7/10/1950 3:00,0,0,10,4
88,7/10/1950 6:00,7/10/1950 14:00,0,0,9,2
90,7/10/1950 17:00,7/11/1950 14:00,0,0,22,2
92,7/11/1950 21:00,7/15/1950 18:00,0,0,94,6
94,7/16/1950 0:00,7/16/1950 12:00,0,0,13,5
96,7/16/1950 15:00,7/19/1950 13:00,0,0,71,2
98,7/19/1950 16:00,7/20/1950 18:00,0,0,27,2
100,7/20/1950 20:00,7/22/1950 19:00,0,0,48,1
102,7/22/1950 22:00,7/28/1950 12:00,0,0,135,2
104,7/28/1950 15:00,7/28/1950 19:00,0,0,5,2
106,7/28/1950 22:00,7/29/1950 12:00,0,0,15,2
108,7/29/1950 19:00,8/1/1950 6:00,0,0,60,6
110,8/1/1950 8:00,8/2/1950 13:00,0,0,30,1
112,8/2/1950 16:00,8/4/1950 22:00,0,0,55,2
114,8/5/1950 0:00,8/5/1950 5:00,0,0,6,1
116,8/5/1950 7:00,8/10/1950 13:00,0,0,127,1
118,8/10/1950 15:00,8/10/1950 21:00,0,0,7,1
120,8/10/1950 23:00,8/13/1950 16:00,0,0,66,1
122,8/13/1950 18:00,8/14/1950 14:00,0,0,21,1
124,8/14/1950 16:00,8/15/1950 12:00,0,0,21,1
126,8/15/1950 23:00,8/21/1950 12:00,0,0,134,10
128,8/21/1950 18:00,8/23/1950 22:00,0,0,53,5
130,8/24/1950 0:00,8/26/1950 12:00,0,0,61,1
132,8/26/1950 14:00,8/26/1950 22:00,0,0,9,1
134,8/27/1950 0:00,8/27/1950 14:00,0,0,15,1
136,8/27/1950 16:00,8/29/1950 10:00,0,0,43,1
138,8/29/1950 17:00,8/31/1950 17:00,0,0,49,6
140,8/31/1950 21:00,9/1/1950 10:00,0,0,14,3
142,9/1/1950 13:00,9/2/1950 10:00,0,0,22,2
144,9/2/1950 12:00,9/3/1950 18:00,0,0,31,1
146,9/4/1950 2:00,9/4/1950 6:00,0,0,5,7
148,9/4/1950 20:00,9/5/1950 9:00,0,0,14,13
150,9/7/1950 5:00,9/7/1950 12:00,0,0,8,43
152,9/7/1950 14:00,9/15/1950 20:00,0,0,199,1
154,9/16/1950 1:00,9/24/1950 22:00,0,0,214,4
